StationId,PlatformId,Type,StationName,PlatformX,PlatformY,RoutesCount,Autobus,Trolley,Tramway,Taxi,Metro,ElectricTrain,Funicular,Monorail,RiverTransport,Ropeway,Aeroexpress
4504385606387652,4504282527174853,Автобус,Академика Капицы д.34,37.5174118228392,55.6279598290105,2,49|754,,,,,,,,,,
4504385606387630,4504282527174857,Автобус,Паустовского,37.5436483783533,55.6037196866739,4,262|648|651,81,,,,,,,,,
4504385606387655,4504282527174859,Автобус,Новоясеневский проспект д.19,37.5498091144033,55.6023934366477,4,262|648|651,81,,,,,,,,,
4504385606394724,4504282527174861,Автобус,Метро Битцевский Парк,37.5552758120648,55.6004305772028,4,262|648|651,81,,,,,,,,,
4504385606390654,4504282527174862,Автобус,Метро Новоясеневская,37.5512650139843,55.6022594766865,4,262|648|651,81,,,,,,,,,
4504385606387655,4504282527174863,Автобус,Новоясеневский проспект д.19,37.5487401192152,55.6028027898097,4,262|648|651,81,,,,,,,,,
4504385606390654,4504282527174864,Автобус,Метро Новоясеневская,37.5526366515916,55.601770015428,4,262|648|651,81,,,,,,,,,
4504385606387669,4504282527174900,Автобус,Зона отдыха Битца,37.5457286070567,55.58771008457,6,165|877|37|202|967,,,967,,,,,,,
4504385606387670,4504282527174901,Автобус,Ясенево,37.5245314206235,55.5928013729768,8,877|642|1040|37|1042|1039|967,,,967,,,,,,,
4504385606387671,4504282527174902,Автобус,Кафе Артико,37.5112532427459,55.5966489695057,6,877|642|37|1042|967,,,967,,,,,,,
4504385606387672,4504282527174903,Автобус,Малое Голубино,37.5040160554909,55.6016058939925,5,877|642|37|967,,,967,,,,,,,
4504385606387672,4504282527174904,Автобус,Малое Голубино,37.5057683991156,55.599262549176,6,877|642|37|967,,,592|967,,,,,,,
4504385606387670,4504282527174905,Автобус,Ясенево,37.5236848482997,55.59266554878,9,877|642|1040|37|1042|1039|967,,,592|967,,,,,,,
4504385606387669,4504282527174906,Автобус,Зона отдыха Битца,37.5453963202331,55.5874508143885,6,165|877|37|202|967,,,967,,,,,,,
4504385606388760,4504282527174909,Автобус,Северное Бутово (по требованию),37.5715159150972,55.5811936698495,4,877|37|967,,,967,,,,,,,
4504385606387645,4504282527175053,Автобус,Метро Тёплый Стан,37.5034260420123,55.6182550853241,9,767|781|427|512|804|388|953|504,,,б/н (Ашан - Академика Варги),,,,,,,
4504385606387718,4504282527175054,Автобус,Профсоюзная д. 156,37.5013127553064,55.6166795053463,26,264|С2|781|647|37|235|540|804|227|388|600|600к|953|504,,,433|531|512|504|894|952|804|1170|887|521|522|1015,,,,,,,
4504385606387719,4504282527175055,Автобус,МКАД (ул. Профсоюзная),37.4964841309912,55.6136870399484,44,991|878|264|577|503|767|895|С2|781|647|427|37|235|433|531к|882|540|512|804|227|388|600|895к|982|600к|964|398|531|504,,,433|531|882|512|504|398|952|804|895|577|1170|887|521|522|1015,,,,,,,
4504385606387718,4504282527175057,Автобус,Профсоюзная д. 156,37.5019795747418,55.6164668439499,37,991|264|577|895|С2|781|647|37|235|531к|882|804|227|388|600|895к|982|600к|964|531|953|504,,,433|531|882|512|504|398|894|952|804|895|1170|521|522|1015|б/н (Ашан - Академика Варги),,,,,,,
4504385606387645,4504282527175058,Автобус,Метро Тёплый Стан,37.502217448629,55.6206994673219,9,444|281|553|144|227|388|С14|953,,,б/н (Ашан - Академика Варги),,,,,,,
4504385606387645,4504282527175059,Автобус,Метро Тёплый Стан,37.5033541767895,55.6199712116288,10,444|281|540|553|144|227|388|С14|953,,,б/н (Ашан - Академика Варги),,,,,,,
4504385606386834,4504282527175060,Автобус,Колледж №38 (ул. Тёплый Стан),37.4976793394767,55.6224021173901,9,444|281|553|144|227|388|С14|953,,,б/н (Ашан - Академика Варги),,,,,,,
4504385606387720,4504282527175061,Автобус,Тёплый Стан д.9,37.4939943603497,55.6237979351272,8,444|281|553|144|227|С14|953,,,б/н (Ашан - Академика Варги),,,,,,,
4504385606387721,4504282527175062,Автобус,Генерала Тюленева,37.4901359165413,55.6252572381672,9,444|281|553|144|227|388|С14|953,,,б/н (Ашан - Академика Варги),,,,,,,
4504385606387722,4504282527175063,Автобус,Тёплый Стан д. 4,37.4871474910857,55.6269565382098,8,444|281|553|144|227|С14|953,,,б/н (Ашан - Академика Варги),,,,,,,
4504385606387723,4504282527175064,Автобус,Школа Самбо-70,37.4848962231521,55.6288843686327,9,444|281|553|144|227|388|С14|953,,,б/н (Ашан - Академика Варги),,,,,,,
4504385606387724,4504282527175065,Автобус,Академика Виноградова,37.4816179113543,55.6316911938462,7,444|281|553|144|227|953,,,б/н (Ашан - Академика Варги),,,,,,,
4504385606387724,4504282527175066,Автобус,Академика Виноградова,37.4816493523892,55.6314845093543,8,444|281|553|144|227|С14|953,,,б/н (Ашан - Академика Варги),,,,,,,
4504385606387723,4504282527175067,Автобус,Школа Самбо-70,37.4855271998077,55.628164194253,8,444|281|553|144|227|388|С14,,,б/н (Ашан - Академика Варги),,,,,,,
4504385606387722,4504282527175068,Автобус,Тёплый Стан д. 4,37.4874212077527,55.626542304748,8,444|281|553|144|227|С14|953,,,б/н (Ашан - Академика Варги),,,,,,,
4504385606387721,4504282527175069,Автобус,Генерала Тюленева,37.4917497399493,55.6245276442969,10,444|281|540|553|144|227|388|С14|953,,,б/н (Ашан - Академика Варги),,,,,,,
4504385606387720,4504282527175070,Автобус,Тёплый Стан д.9,37.4955687477166,55.6230821400018,9,444|281|540|553|144|227|С14|953,,,б/н (Ашан - Академика Варги),,,,,,,
4504385606386834,4504282527175071,Автобус,Колледж №38 (ул. Тёплый Стан),37.4992274062058,55.6216997673514,10,444|281|540|553|144|227|388|С14|953,,,б/н (Ашан - Академика Варги),,,,,,,
4504385606387725,4504282527175072,Автобус,МФЦ Тёплый Стан,37.4748899790339,55.6349390000397,1,281,,,,,,,,,,
4504385606387726,4504282527175073,Автобус,Академика Варги д.22,37.4700457240327,55.633853565328,4,553|144|227|953,,,,,,,,,,
4504385606387727,4504282527175074,Автобус,Академика Варги,37.4731195792719,55.6302035187911,4,553|144|227|953,,,,,,,,,,
4504385606387728,4504282527175075,Автобус,Академика Варги д.6,37.4780674100253,55.6306959270664,4,553|144|227|953,,,,,,,,,,
4504385606387728,4504282527175076,Автобус,Академика Варги д.6,37.4765579708534,55.6301247959094,7,444|553|144|227|С14|953,,,б/н (Ашан - Академика Варги),,,,,,,
4504385606387729,4504282527175077,Автобус,Академика Варги д.2,37.4792833695939,55.6312572923635,4,553|144|227|953,,,,,,,,,,
4504385606387727,4504282527175078,Автобус,Академика Варги,37.4723581672371,55.6309631940611,7,444|553|144|227|С14|953,,,б/н (Ашан - Академика Варги),,,,,,,
4504385606387726,4504282527175079,Автобус,Академика Варги д.22,37.4706462478001,55.6342281860017,7,444|553|144|227|С14|953,,,б/н (Ашан - Академика Варги),,,,,,,
4504385606387725,4504282527175080,Автобус,МФЦ Тёплый Стан,37.4767024199511,55.6348277138814,4,444|281|С14,,,б/н (Ашан - Академика Варги),,,,,,,
4504385606387623,4504282527175083,Автобус,Медицинский университет,37.4917636638362,55.6443459536041,5,295|С2|718|66|712,,,,,,,,,,
4504385606387731,4504282527175084,Автобус,Академика Бакулева д.10,37.4853628081107,55.6411339877262,5,295|С2|718|66|712,,,,,,,,,,
4504385606387732,4504282527175085,Автобус,9-й микрорайон Теплого Стана (ул. Академика Бакулева),37.4831731646057,55.641317859474,5,295|С2|718|66|712,,,,,,,,,,
4504385606387731,4504282527175086,Автобус,Академика Бакулева д.10,37.4860610685811,55.6412451542802,5,295|С2|718|66|712,,,,,,,,,,
4504385606387733,4504282527175087,Автобус,Академика Бакулева,37.4897085879607,55.6431413386334,5,295|С2|718|66|712,,,,,,,,,,
4504385606387733,4504282527175088,Автобус,Академика Бакулева,37.4887196326644,55.6427436363137,5,295|С2|718|66|712,,,,,,,,,,
4504385606387737,4504282527175094,Автобус,8-й микрорайон Тёплого Стана,37.4688716259564,55.6304814108182,4,877|642|767|781,,,,,,,,,,
4504385606387737,4504282527175098,Автобус,8-й микрорайон Тёплого Стана,37.470348725778,55.6303108540588,4,877|642|767|781,,,,,,,,,,
4504385606387739,4504282527175104,Автобус,Мосрентген,37.4800670598478,55.6211318087005,4,877|642|767|781,,,,,,,,,,
4504385606387739,4504282527175105,Автобус,Мосрентген,37.4804418369843,55.6213810954269,4,877|642|767|781,,,,,,,,,,
4504385606387741,4504282527175108,Автобус,Голубинская,37.5165427028018,55.6105204985561,4,264|647|281,,,б/н (Тёплый Стан - Одоевского),,,,,,,
4504385606387742,4504282527175109,Автобус,Универсам (ул. Голубинская),37.512249833722,55.6071862970263,4,264|647|281,,,б/н (Тёплый Стан - Одоевского),,,,,,,
