"Город","Id города","StableId","X","Y","Индекс","Название","Назначение","Название слоя","Застройщики","Субъект федерации","Район области","Район","Площадь","Этажность","Количество подъездов","Количество квартир","коэф семейности 2.7","Округ","Улица1","Дом1","Улица2","Дом2","Улица3","Дом3"
"Москва","4504222397630173","4504235282568177","37.4860716687014","55.6298910149501","117133","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","5884","14","1","95","257","Юго-Западный административный округ","Тёплый Стан улица","12 к2","","","",""
"Москва","4504222397630173","4504235282568182","37.4870079827221","55.6298728206341","117133","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","7135","14","1","98","265","Юго-Западный административный округ","Тёплый Стан улица","12 к1","","","",""
"Москва","4504222397630173","4504235282568186","37.4865103160546","55.629361089316","117133","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","5886","14","1","97","262","Юго-Западный административный округ","Тёплый Стан улица","12 к3","","","",""
"Москва","4504222397630173","4504235282568275","37.4867032741777","55.6325350975749","117133","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","5885","14","1","96","259","Юго-Западный административный округ","Академика Виноградова улица","4 к1","","","",""
"Москва","4504222397630173","4504235282568276","37.4862163872937","55.6319786801424","117133","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","5885","14","1","98","265","Юго-Западный административный округ","Академика Виноградова улица","4 к3","","","",""
"Москва","4504222397630173","4504235282568277","37.4871214399424","55.631960639258","117133","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","7567","14","1","96","259","Юго-Западный административный округ","Академика Виноградова улица","4 к2","","","",""
"Москва","4504222397630173","4504235282568301","37.4870140014345","55.6330255453418","117133","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","17919","9","8","288","778","Юго-Западный административный округ","Академика Виноградова улица","6","","","",""
"Москва","4504222397630173","4504235282568316","37.4874106076324","55.6334023083024","117133","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","8866","9","4","144","389","Юго-Западный административный округ","Академика Виноградова улица","8","","","",""
"Москва","4504222397630173","4504235282568318","37.4887729027608","55.6333136824356","117133","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","7684","16","1","111","300","Юго-Западный административный округ","Академика Виноградова улица","10 к2","","","",""
"Москва","4504222397630173","4504235282568322","37.4887868266477","55.6336120824879","117133","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","7680","16","1","111","300","Юго-Западный административный округ","Академика Виноградова улица","10 к1","","","",""
"Москва","4504222397630173","4504235282568475","37.4831681340401","55.6337136660449","117133","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","22217","17","2","152","410","Юго-Западный административный округ","Академика Виноградова улица","3 к1","","","",""
"Москва","4504222397630173","4504235282568476","37.4814687011856","55.632824203838","117133","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","22219","17","2","136","367","Юго-Западный административный округ","Академика Виноградова улица","1 к1","","","",""
"Москва","4504222397630173","4504235282569039","37.5547916201267","55.6124557506879","117593","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Ясенево","19987","16","4","256","691","Юго-Западный административный округ","Рокотова улица","2/10","","","",""
"Москва","4504222397630173","4504235282569400","37.5074274976138","55.6238532381668","117321","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","25522","17","5","328","886","Юго-Западный административный округ","Профсоюзная улица","146 к1","","","",""
"Москва","4504222397630173","4504235282569509","37.5080846152442","55.6244215130226","117321","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","21026","17","4","263","710","Юго-Западный административный округ","Профсоюзная улица","144","","","",""
"Москва","4504222397630173","4504235282569723","37.5051693126526","55.6284403727881","117321","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","19407","17","4","271","732","Юго-Западный административный округ","Профсоюзная улица","140 к5","","","",""
